UID,VER,VALID,Age,Gender,Smartphone,Wearable,Q1,Q2.1,Q2.2,Q2.3,Q2.4,Q3,Q3.1,Q3.2,Q3.3,Q3.4,Q4,Q5,Q6,Q7,Q8,Q9,Q10
P29,2,,33,M,SM-G998N,Galaxy Watch4 Classic,주로 집에서 활동하고 장보거나 운동할겸 인근 거리를 걷는정도,N,P,B,B,Notf,0,1,0,0,Enter,,,6:00,24:00:00,주말에 약속있을때 착용,Shower
P30,1,,25,M,SM-G960N,Galaxy Watch Active2,"사무실에 앉아서 컴퓨터를 사용하여 일을 하기도 하지만, 실험을 하기 위해 제한된 공간을 계속해서 돌아다니기도 합니다.퇴근 후 자전거로 5분 정도 거리의 체육관에 걸어가서 운동을 한 뒤, 다시 자전거로 대략 5분 정도 거리에 있는 집으로 이동합니다.",,,,,,,,,,,8:30,21:00,7:00,23:30,"주말엔 거의 아예 집에만 있다가, 일요일 저녁에 보통 갑천에 나와서 30분 정도 러닝을 합니다.","Sleep, Home"
P31,2,,28,M,SM-G973N,Galaxy Watch4,"실험실 이동, 식사 이동, 헬스장 웜업 (출퇴근은 자차)",N,P,B,B,"Notf, Sleep, Exercise",0,1,1,1,,9:00,20:00,7:00,24:00:00,집에서 나갈때 착용,"Shower, Work"
P32,2,,15,M,iPhone 6,Galaxy Watch,학교에 가거나 학원에 갈 때 걷는다,P,P,B,B,Notf,0,1,0,0,Enter,8:30,22:00,8:00,1:00,외출할 때,Shower
P33,1,,22,M,SM-G981N,Galaxy Watch3,"주로 사무실에 앉아서 컴퓨터를 사용하여 일하고, 세미나나 휴식을 취할 때 층간 이동을 자주 합니다.주로 차를 타고 퇴근하여서 집에서 머물거나 데이트를 하는 경우에는 주차를 하고 산책을 20~30분 정도 하게 됩니다.",,,,,,,,,,,13:00,17:30,7:30,23:00,주로 주말에는 거의 계속 집에서 지냅니다. 특별히 놀러 나가는 날을 제외하고는 항상 그렇게 됩니다.,"Sleep, Home"
P34,1,,33,W,SM-N986N,Gear S3,집에선 워치를 착용하지않고 외부에 나갈때만 워치를 착용합니다도보 20분내의 거리는 걸어다닙니다 그 외엔 대중교통이용,,,,,,,,,,,11:00,22:00,11:00,4:00,집에서 주로 보내고 종교활동을 위해 나갈때 걷기+대중교통 이용합니다,"Sleep, Home, Shower"
P35,2,,28,M,SM-G781N,Galaxy Watch4,"주로 자전거 혹은 스쿠터로 출근. 식사를 위해 학생식당 왕복에 걷고, 가끔 비정기적 산책을 함. 연구실이 같은 층 내에 두 개로 나뉘어 있어 자주 왕복함.",B,W,B,B,"Exercise, Notf",0,1,1,0,Enter,9:00,21:00,10:00,2:00,배터리 충전 외에는 거의 착용하고 있음,Charge
P36,2,,45,M,SM-N976N,"Galaxy Watch4, Galaxy Watch4 Classic, Galaxy Watch Active2",세차 업무를 담당하고 있어 근무시 착용합니다.,P,B,B,P,"Notf, Exercise, DAT",1,1,1,0,Enter,8:00,18:00,7:00,23:00,주말에는 거의 착용하지 않습니다.,Shower
P37,2,,23,M,SM-G977N,Galaxy Watch4,매일 아침 집에서 셔틀 정류장까지 약 700미터 가량을 걸어서 이동하고 저녁에는 버스 정류장에서 약 300미터 가량을 걸어서 집으로 이동합니다. 그리고 점심 및 저녁 식사 시간에 N1 연구실에서 교수회관까지 왕복으로 잠시 걷습니다.,N,P,B,P,"Exercise, DAT",1,0,1,0,Enter,,,8:50,24:00:00,집에서 나갈 일이 있으면 착용합니다.,Shower
P38,1,,30,,SM-G970N,Galaxy Watch Active2,"출근 직후 관리하는 시설물들의 환기를 위해서 10분 정도 천천히 움직이며 창문을 열고, 30분 후 다시 창문을 닫기 위해서 동일 행동을 합니다. 이외에는 주로 컴퓨터를 사용하면서 앉아있습니다.일단 해당 질문에 대한 답변은 아니지만, 식사의 경우 점심은 주로 도시락을 싸와서 근무지에서 먹습니다.

또한 '퇴근 후'라고 되어있지만 실제로 저는 대부분 출근 이전 시간에 운동을 합니다.",,,,,,,,,,,9:00,18:00,5:30,22:30,"주로 집에서 보내며, 토요일에는 오전에 1시간 정도 골프를 치고 옵니다.","Home, Work, Shower"
P39,1,,26,M,SM-G991N,Galaxy Fit2,"주로 실험실에서 실험을 하고 연구실에서 컴퓨터로 데이터를 정리하며, 실험실과 연구실은 걸어서 1분 거리의 같은 건물에 위치합니다.퇴근 후 차량으로 5분 정도의 체육관에 가서 웨이트트레이닝 및 유산소 운동을 하거나, 풋살장 혹은 배드민턴장에 가서 운동을 합니다. 운동 비율은 풋살+배드민턴 주 3회, 웨이트트레이닝 주 2회 정도입니다.",,,,,,,,,,,12:00,24:00:00,11:00,3:00,"주로 주말에는 평일과 동일하게 유산소 운동 혹은 웨이트트레이닝을 하고, 가끔 갑천에서 자전거를 타거나 런닝을 합니다.","Work, Home, Shower, Sleep"
P40,2,,23,M,SM-G973N,Galaxy Watch4,"출, 퇴근",P,B,B,P,,0,0,0,0,Enter,13:00,22:00,10:00,3:00,"약속이 있을 때 착용, 집 안에서는 잘 쓰지 않음","Home, Sleep, Work"
P41,2,,27,W,SM-G981N,Galaxy Watch Active2,"저는 주로 차를 타고 사무실로 출근하여 실내에서 근무하나, 식사를 하거나 카페에 가는 등 근거리 이동이 가능한 경우 가급적 걸어서 이동합니다.
",N,B,B,B,"Notf, Exercise",0,1,1,0,,11:00,21:00,9:00,3:00,그냥 일어나면 착용합니다,Shower
P42,2,,41,W,SM-N981N,Galaxy Watch4,운동할때 사용하고 주로 집안에서 걸어다니고 마트를 가거나 주2~3 회 정도 가벼운 산책을 합니다,P,B,P,B,"Notf, Exercise",0,1,1,0,Enter,,,6:30,24:00:00,주말에도 일어나면 착용하고 있습니다,Shower
P43,2,,20,M,SM-N986N,Galaxy Watch4,강의를 듣거나 식사를 하러갈때,W,P,B,B,"Notf, DAT",1,1,0,0,Enter,9:00,16:00,8:00,2:00:00,밖에 나갈때 착용합니다,Shower
P44,2,,20,M,SM-N986N,Galaxy Watch4,걸어서 강의실로 이동하고 귀가 할때도 걸어갑니다,W,P,B,B,DAT,1,0,0,0,Enter,9:00,16:00,7:00,24:00:00,집에서도 착용을 하고 밖에서도 착용을 합니다.,"Shower, Charge"
P45,1,,34,M,SM-N971N,Galaxy Watch3,"화장실 갈 때, 밥먹으러 갈 때만 걷습니다..산책",,,,,,,,,,,8:00,18:00,6:00,23:00,주말에 러닝을 합니다. 근데 단점은 워치만 차고 가서 의미가 있을지는... 모르겠네요ㅠ,"Sleep, Shower, Home"
P46,2,,34,M,SM-G998N,Galaxy Watch4,"극장이나 식당, 코인노래방 등 여가시간에 집에서 시내로 갈때 주로 걷습니다.",P,B,B,P,"Notf, Exercise",0,1,1,0,Enter,8:00,18:00,6:00,24:00:00,주말이나 공휴일에는 외출시에 착용합니다.,"Shower, Toilet"
P47,2,,20,M,SM-G970N,"Galaxy Watch4, Galaxy Fit2","버스타고 출근할 때, 버스타고 퇴근할 때",N,B,B,B,Notf,0,1,0,0,Enter,7:50,18:00,7:00,24:00:00,생각나면 차고 잘 집에 있을 땐 거의 착용X,Shower
P48,2,,31,M,SM-G977N,Galaxy Watch4 Classic,운동,N,P,B,P,Exercise,0,0,1,0,Enter,7:00,18:00,5:00,1:00,주말 공휴일 둘다 쉬는날에는 운동용으로 착용,"Shower, Toilet"
P49,2,,23,M,SM-G885S,Galaxy Watch Active2,출퇴근 및 점심 저녁 식사를 위한 이동. 일과 중 10~20분 산책,N,P,B,P,,0,0,0,0,Enter,10:00,24:00:00,8:30,2:00,주말에는 출근하는 경우에만 착용합니다.,Shower
P50,2,0,18,M,,Galaxy Watch3,"소망관에서 카이마루로 식사하러 갈 때, 도서관 갈 때, 동아리방을 갈 때 걷는 것 같습니다.",B,B,B,P,DAT,1,0,0,0,Enter,12:00,23:00,9:00,2:00,충전 할 때를 제외하고는 항상 착용합니다,Shower
P51,2,,22,M,SM-N971N,Galaxy Watch Active2,"온라인 수업이라 주로 집에 있습니다 그래서 매일 마트 갈 때, 쓰레기 버리러갈 때 10~20분 정도 걷습니다",W,W,W,W,Notf,0,1,0,0,Enter,,,9:00,23:00,매일 샤워시 제외 24시간 착용,Shower
P52,1,0,37,M,,,"주로 앉아서 일하며, 업무중 이동 적습니다출퇴근시 1시간 소요 되는 대중교통 이용으로 15분 정도 걷게 되며, 퇴근후 체육관에 가서 근력운동 위주의 활동을 합니다",,,,,,,,,,,7:00,16:00,5:30,22:00,주로 집에서 보내고 가족과 함께 1시간 정도 외부 활동 합니다,"Sleep, Shower, Home"
P53,1,,19,M,SM-N976N,"Galaxy Fit2, Galaxy Watch Active2",학교에서 수업을 듣고 강의실 이동을 위해 다른건물로 걸어서 이동합니다학교에서 10분정도 거리의 지하철로 걸어서 이동후 볼링장을 갑니다,,,,,,,,,,,9:30,16:00,8:00,0:30,주말엔 주로 볼링장을 가고 3시간정도 볼링을 칩니다,"Shower, Sleep"
P54,2,,28,W,SM-G977N,Galaxy Watch Active,"평소에는 자전거를 타고 출퇴근을 하지만 자전거를 다른 곳에 놓고 오거나, 비가 오는 경우에는 걸어서 출퇴근을 합니다. 최근에는 주 4회 정도, 주로 밤에 달리기를 하였습니다.",W,P,B,B,"Sleep, Exercise",0,0,1,1,Enter,10:30,21:00,9:00,2:00,충전할 때 빼고는 항상 착용합니다.,Shower
P55,1,0,30,M,SM-N971N,,실험하면서 걷는활동이 잦고 사무시간에는 주로 앉아있습니다.운동을가게되면 50분가량 런닝머신을타지만 기록이되지않았을수 있습니다. 그 외 시간을두고 걷는활동은 거의 없습니다. 헬스장 왕복 10분정도 있음.,,,,,,,,,,,9:00,18:00,7:10,24:00:00,주로집에서 보내나 외출하는경우 걷기도합니다,Sleep
P56,1,,40,M,SM-G986N,Galaxy Fit2,사무실에서 대기하다 회사내의 기계나 장비 고장 발생시 점검 이나 수리업무 합니다.주의 3일정도 조깅 운동합니다. 시간 평일이라도 시간 날때 30분에서 40분정도 운동합니다.,,,,,,,,,,,9:00,18:00,7:00,23:30,주말에 이틀쉬면 하루는 조깅과 근력운동 1시간 30분정도 하고 하루는 아무것도 안하고 푹 쉽니다.,"Shower, Home"
P57,1,,35,M,SM-N976N,"Galaxy Watch4, Galaxy Watch Active2","사무실에서 컴퓨터를 사용하고 필요한 물품을 정리 하기 위해 한번씩 움직이도 출근,퇴근 때 지하주차장 및 지상2층 탈의실 이용지상2층에서 지하1층으로 이동 후 자차이용, 지하2~3층 주차장에서 1층으로 이동",,,,,,,,,,,9:00,18:00,7:20,1:30,"주로 주말에 집에서 보냈고 한번씩 외출(부모님댁 방문, 카페 이용 등)",Home
P58,1,,28,M,SM-G975N,Galaxy Watch Active2,주로 컴퓨터를 사용하고 사무실 이동 시 걸어서 합니다(계단)퇴근 후 자가용을 이용해 집에 돌아가 저녁을 먹습니다.,,,,,,,,,,,8:00,17:00,7:00,23:00,주로 집이나 데이트(외출)하고 주로 차로 이동합니다.,"Sleep, Home, Shower"
P59,2,,28,M,SM-F700N,Galaxy Fit2,출퇴근 시,W,W,B,B,"Sleep, DAT, Notf",1,1,0,1,Enter,8:00,17:00,7:00,24:00:00,계속 착용,Charge
P60,1,,20,M,SM-N986N,"Galaxy Watch4, Galaxy Watch Active2",주로 컴퓨터 앞에 있고 걸어서 이동합니다20분정도 걷는 산책합니다,,,,,,,,,,,9:00,22:00,8:40,24:00:00,주로 집에서 활동하며 40분 정도 마트등을 갔다옴,"Shower, Charge, Sleep, Home"
P61,2,,24,M,SM-G977N,Galaxy Watch4 Classic,"연구실로 출퇴근할때 25분 정도 되는 거리를 왕복하고, 헬스장에 가면 런닝머신에서 30분 정도 걷습니다",N,B,B,P,"Notf, Exercise",0,1,1,0,,10:00,18:00,9:00,2:00,일어나면 바로 착용하는 편입니다,Shower
P62,1,,25,W,SM-G981N,Galaxy Fit,"주로 사무실에서 앉아서 컴퓨터를 사용하면서 일을 하고, 회의를 위해서 자주 층간 이동을 하거나 식사를 위해 걸어서 이동합니다. 그리고 실험을 위해 움직이는 경우가 있습니다.퇴근후 10분정도 걸어서 밥을 먹고 일주일에 두번정도 1시간 걷기 운동합니다.",,,,,,,,,,,9:00,20:00,8:20,0:30,"주로 주말에는 집에서 보내고, 밤에 1시간 정도 공원을 산책합니다","Sleep, Shower"
P63,1,0,46,M,SM-N976N,,"이곳 저곳을 자주 걷고, 주로 대중교통을 이용늦은 저녁시간에 집에서 저녁밥을 먹고 혈당 수치를 천천히 올리지 않고 소모하기 위해서 새벽0시에 1만보 걷기 운동을 합니다.",,,,,,,,,,,9:00,19:00,7:00,2:00,늦은저녁에 저녁밥을 먹고 혈당수치를 천천히 올리기 위해 새벽0시에 1만보 걷기운동을 하고 있다.,"Sleep, Home, Shower"
P64,2,,49,M,SM-G991N,"Galaxy Watch4 Classic, Galaxy Watch",저녁 운동,P,P,B,B,Exercise,0,0,1,0,,8:00,18:00,6:30,24:00:00,운동,Shower
P65,2,,24,M,SM-F711N,Galaxy Watch4,"학교 독서실
지하철이나 버스에서 내려서 목적지에 갈때
하루에 1만보 걷으려함",P,P,W,P,Exercise,0,0,1,0,Enter,12:00,24:00:00,10:00,2:00,거의 쓰지않음 운동시에만 사용,Toilet
P66,2,,24,M,SM-G781N,Galaxy Watch4,"공부 목적으로 도서관, 카페 방문시
저녁~밤 시간대 1시간 가량 산책시",P,B,B,P,"Notf, DAT",1,1,0,0,Enter,15:00,22:00,9:30,2:00,외출할 일이 있을 때만 착용합니다.,"Home, Toilet, Shower"
P67,1,0,20,M,,Galaxy Fit2,"등하교시 약 3km가량을 왕복으로 걸었으나, 온라인 강의로 이동량이 급감했습니다.일정이 가능하다면, 친구들과 야외 코트에서 배드민턴을 합니다.",,,,,,,,,,,9:30,18:15,8:30,1:00,"주말은 때에 따라 다른데, 여행을 갈 경우 하루 1만걸음 이상 걸으나, 집에 있을 경우 하루 1천걸음도 걷지 않을 때가 많습니다.","Home, Sleep"
P68,2,,30,W,SM-G973N,Galaxy Watch4,"출근해서 실내에서 근무하고, 일하면서 걷는거 이외의 큰 운동은 하지않는다",B,P,B,P,"Sleep, Notf",0,1,0,1,Enter,8:00,18:30,7:00,24:00:00,충전시간 제외 항상착용,Shower
P69,1,,20,M,SM-N975F,Galaxy Watch Active,"During this pandemic, most of my activities are done at home. I went out to buy lunch. Usually when I go out I have to go down the stairs and walk about 0.5 km. On this trip I often carry my cellphone instead of using my Samsung smartwatch.Usually after work or college around 3 pm I just bought lunch, usually this afternoon I like to buy ""Nasi Padang"" and the distance to that place takes 0.6 km back and forth at least.",,,,,,,,,,,7:00,15:00,8:00,1:00,"because my college day is really very tired, I usually take advantage of this weekend to rest completely. Like watching a movie or doing an unfinished task. The most mobile activity that is most likely to be done at home is to go upstairs through the stairs to see the scenery. The frequency is quite often about 5 times climbing stairs in 1 day on weekends.","Sleep, Work, Home, Shower, Charge"
P70,1,,47,M,LM-V500N,Gear S3,사무실에서는 별로 안걸음가끔 5킬로 정도 산책함,,,,,,,,,,,9:00,20:00,7:00,24:00:00,저녁에 산책 한시간 가끔함,Sleep
P71,2,,23,M,SM-G991N,Galaxy Watch4,"아침/오후에 도서관에 갈 때, 저녁에 운동하러 나갈때 주로 걷습니다.",N,P,B,P,"Notf, DAT, Exercise",1,1,1,0,Enter,8:00,,7:00,24:00:00,식사 약속이 있을 때나 운동하러 나갈 때 착용합니다,Shower
P72,2,,21,W,SM-N960N,Galaxy Watch4,운동시간이나 산책시간에 보통 30~90분정도 걷습니다.,B,W,B,B,"Sleep, Exercise",0,0,1,1,Enter,8:30,13:00,6:00,3:00,충전하는 시간을 제외하고는 항상 차고있습니다.,Shower
