uid,device_group,device_name,deviceuuid
P31,wearable,Galaxy Watch4,OAyMSkG890
P32,smartphone,iPhone 6,vIGKhHyw4I
P32,wearable,Galaxy Watch,bZztH/XwYd
P33,smartphone,SM-G981N,ygbyP0F3u1
P33,wearable,Galaxy Watch3,n8LKInx0oR
P34,smartphone,SM-N986N,dcgD+kDsnP
P34,wearable,Gear S3,T8x2YW+ymp
P35,smartphone,SM-G781N,bJJenGaIOi
P35,wearable,Galaxy Watch4,EuHCkxQIYs
P36,smartphone,SM-N976N,4Sn5KWtUrq
P36,wearable,Galaxy Watch4,4ZvHrziN80
P36,wearable,Galaxy Watch4 Classic,xjZdZbkbUM
P36,wearable,Galaxy Watch Active2,alPUGqtPd7
P36,wearable,Galaxy Watch4 Classic,3PXV8ei7Ho
P37,smartphone,SM-G977N,OAFkT6BcQa
P37,wearable,Galaxy Watch4,LzuqtZXxdN
P38,wearable,Galaxy Watch Active2,GPAG8DwJO3
P38,smartphone,SM-G970N,adlav1DQ9p
P39,smartphone,SM-G991N,7kbKgzPy7Z
P39,wearable,Galaxy Fit2,KrFaxbyQmD
P40,smartphone,SM-G973N,KBrcSO38Ih
P40,wearable,Galaxy Watch4,OxJhJ/B6GV
P41,smartphone,SM-G981N,IGzxVRQgYZ
P41,wearable,Galaxy Watch Active2,Ugjl6c7+gX
P42,smartphone,SM-N981N,Hya0Gxmwtu
P42,wearable,Galaxy Watch4,0UiGAc5CKv
P43,smartphone,SM-N986N,cD3rdwdaHh
P43,wearable,Galaxy Watch4,6G42T4AT2z
P44,smartphone,SM-N986N,cD3rdwdaHh
P44,wearable,Galaxy Watch4,6G42T4AT2z
P45,wearable,Galaxy Watch3,n498ePN8u6
P45,smartphone,SM-N971N,qGf4DLfOtJ
P46,smartphone,SM-G998N,nOQQxcCCAz
P46,wearable,Galaxy Watch4,7Hdmn0zk3a
P46,wearable,Galaxy Watch4,tO7evAJ/wv
P46,wearable,Galaxy Watch4,1lYqwCv3n+
P46,wearable,Galaxy Watch4,ozr/vY8fre
P47,smartphone,SM-G970N,8HySC1T0Wm
P47,wearable,Galaxy Fit2,zdcBw8IyvY
P47,wearable,Galaxy Watch4,95MsBv5Cv6
P48,smartphone,SM-G977N,/jGQbjaN5A
P48,wearable,Galaxy Watch4 Classic,gfFrx7z2A9
P48,wearable,Galaxy Watch4 Classic,2R1DoZFA+2
