,timestamp,device,uuid,step,hour,date,weekday
115,2021-07-15 23:36:00,watch,LOvq0xwXXz,77,23,2021-07-15,3
116,2021-07-15 23:37:00,watch,LOvq0xwXXz,128,23,2021-07-15,3
117,2021-07-15 23:38:00,watch,LOvq0xwXXz,96,23,2021-07-15,3
118,2021-07-15 23:39:00,watch,LOvq0xwXXz,59,23,2021-07-15,3
119,2021-07-15 23:40:00,watch,LOvq0xwXXz,80,23,2021-07-15,3
120,2021-07-15 23:41:00,watch,LOvq0xwXXz,98,23,2021-07-15,3
121,2021-07-15 23:42:00,watch,LOvq0xwXXz,54,23,2021-07-15,3
122,2021-07-15 23:43:00,watch,LOvq0xwXXz,131,23,2021-07-15,3
123,2021-07-15 23:44:00,watch,LOvq0xwXXz,122,23,2021-07-15,3
124,2021-07-15 23:45:00,watch,LOvq0xwXXz,38,23,2021-07-15,3
125,2021-07-15 23:54:00,watch,LOvq0xwXXz,24,23,2021-07-15,3
126,2021-07-15 23:55:00,phone,tlKEeKeQte,44,23,2021-07-15,3
127,2021-07-15 23:55:00,watch,LOvq0xwXXz,31,23,2021-07-15,3
128,2021-07-16 00:04:00,watch,LOvq0xwXXz,10,0,2021-07-16,4
129,2021-07-16 00:05:00,watch,LOvq0xwXXz,12,0,2021-07-16,4
130,2021-07-16 00:09:00,phone,tlKEeKeQte,22,0,2021-07-16,4
131,2021-07-16 00:09:00,watch,LOvq0xwXXz,26,0,2021-07-16,4
132,2021-07-16 00:10:00,phone,tlKEeKeQte,25,0,2021-07-16,4
133,2021-07-16 00:12:00,phone,tlKEeKeQte,34,0,2021-07-16,4
134,2021-07-16 00:34:00,phone,tlKEeKeQte,17,0,2021-07-16,4
135,2021-07-16 00:38:00,phone,tlKEeKeQte,10,0,2021-07-16,4
136,2021-07-16 00:39:00,phone,tlKEeKeQte,0,0,2021-07-16,4
137,2021-07-16 06:39:00,phone,tlKEeKeQte,18,6,2021-07-16,4
138,2021-07-16 06:40:00,phone,tlKEeKeQte,13,6,2021-07-16,4
139,2021-07-16 06:40:00,watch,LOvq0xwXXz,16,6,2021-07-16,4
140,2021-07-16 06:41:00,phone,tlKEeKeQte,35,6,2021-07-16,4
141,2021-07-16 06:41:00,watch,LOvq0xwXXz,58,6,2021-07-16,4
142,2021-07-16 06:42:00,watch,LOvq0xwXXz,11,6,2021-07-16,4
143,2021-07-16 06:49:00,watch,LOvq0xwXXz,10,6,2021-07-16,4
144,2021-07-16 06:57:00,watch,LOvq0xwXXz,16,6,2021-07-16,4
145,2021-07-16 07:03:00,watch,LOvq0xwXXz,27,7,2021-07-16,4
146,2021-07-16 07:07:00,phone,tlKEeKeQte,48,7,2021-07-16,4
147,2021-07-16 07:07:00,watch,LOvq0xwXXz,71,7,2021-07-16,4
148,2021-07-16 07:08:00,phone,tlKEeKeQte,22,7,2021-07-16,4
149,2021-07-16 07:08:00,watch,LOvq0xwXXz,26,7,2021-07-16,4
150,2021-07-16 07:09:00,phone,tlKEeKeQte,8,7,2021-07-16,4
151,2021-07-16 07:09:00,watch,LOvq0xwXXz,15,7,2021-07-16,4
152,2021-07-16 07:12:00,phone,tlKEeKeQte,12,7,2021-07-16,4
153,2021-07-16 07:13:00,phone,tlKEeKeQte,15,7,2021-07-16,4
154,2021-07-16 07:13:00,watch,LOvq0xwXXz,10,7,2021-07-16,4
155,2021-07-16 07:14:00,phone,tlKEeKeQte,7,7,2021-07-16,4
156,2021-07-16 07:15:00,watch,LOvq0xwXXz,20,7,2021-07-16,4
157,2021-07-16 07:16:00,phone,tlKEeKeQte,13,7,2021-07-16,4
158,2021-07-16 07:16:00,watch,LOvq0xwXXz,29,7,2021-07-16,4
159,2021-07-16 07:17:00,phone,tlKEeKeQte,16,7,2021-07-16,4
160,2021-07-16 07:18:00,watch,LOvq0xwXXz,25,7,2021-07-16,4
161,2021-07-16 07:19:00,phone,tlKEeKeQte,28,7,2021-07-16,4
162,2021-07-16 07:19:00,watch,LOvq0xwXXz,31,7,2021-07-16,4
163,2021-07-16 07:20:00,watch,LOvq0xwXXz,40,7,2021-07-16,4
164,2021-07-16 07:21:00,phone,tlKEeKeQte,13,7,2021-07-16,4
165,2021-07-16 07:21:00,watch,LOvq0xwXXz,45,7,2021-07-16,4
166,2021-07-16 07:22:00,phone,tlKEeKeQte,23,7,2021-07-16,4
167,2021-07-16 07:22:00,watch,LOvq0xwXXz,54,7,2021-07-16,4
168,2021-07-16 07:23:00,watch,LOvq0xwXXz,17,7,2021-07-16,4
169,2021-07-16 07:27:00,phone,tlKEeKeQte,17,7,2021-07-16,4
170,2021-07-16 07:27:00,watch,LOvq0xwXXz,11,7,2021-07-16,4
171,2021-07-16 07:28:00,phone,tlKEeKeQte,13,7,2021-07-16,4
172,2021-07-16 07:29:00,phone,tlKEeKeQte,8,7,2021-07-16,4
173,2021-07-16 07:29:00,watch,LOvq0xwXXz,13,7,2021-07-16,4
174,2021-07-16 07:30:00,phone,tlKEeKeQte,24,7,2021-07-16,4
175,2021-07-16 07:30:00,watch,LOvq0xwXXz,44,7,2021-07-16,4
176,2021-07-16 07:32:00,watch,LOvq0xwXXz,11,7,2021-07-16,4
177,2021-07-16 07:33:00,watch,LOvq0xwXXz,12,7,2021-07-16,4
178,2021-07-16 07:35:00,watch,LOvq0xwXXz,30,7,2021-07-16,4
179,2021-07-16 07:36:00,watch,LOvq0xwXXz,11,7,2021-07-16,4
180,2021-07-16 07:38:00,watch,LOvq0xwXXz,54,7,2021-07-16,4
181,2021-07-16 07:39:00,watch,LOvq0xwXXz,24,7,2021-07-16,4
182,2021-07-16 07:40:00,watch,LOvq0xwXXz,10,7,2021-07-16,4
183,2021-07-16 07:41:00,watch,LOvq0xwXXz,41,7,2021-07-16,4
184,2021-07-16 07:42:00,watch,LOvq0xwXXz,23,7,2021-07-16,4
185,2021-07-16 07:43:00,watch,LOvq0xwXXz,42,7,2021-07-16,4
186,2021-07-16 07:44:00,watch,LOvq0xwXXz,35,7,2021-07-16,4
187,2021-07-16 07:46:00,phone,tlKEeKeQte,28,7,2021-07-16,4
188,2021-07-16 07:46:00,watch,LOvq0xwXXz,37,7,2021-07-16,4
189,2021-07-16 07:47:00,phone,tlKEeKeQte,45,7,2021-07-16,4
190,2021-07-16 07:47:00,watch,LOvq0xwXXz,39,7,2021-07-16,4
191,2021-07-16 07:48:00,phone,tlKEeKeQte,20,7,2021-07-16,4
192,2021-07-16 07:48:00,watch,LOvq0xwXXz,50,7,2021-07-16,4
193,2021-07-16 07:49:00,phone,tlKEeKeQte,18,7,2021-07-16,4
194,2021-07-16 07:49:00,watch,LOvq0xwXXz,12,7,2021-07-16,4
195,2021-07-16 07:53:00,watch,LOvq0xwXXz,10,7,2021-07-16,4
196,2021-07-16 07:54:00,watch,LOvq0xwXXz,11,7,2021-07-16,4
197,2021-07-16 08:02:00,phone,tlKEeKeQte,24,8,2021-07-16,4
198,2021-07-16 08:02:00,watch,LOvq0xwXXz,17,8,2021-07-16,4
199,2021-07-16 08:03:00,watch,LOvq0xwXXz,8,8,2021-07-16,4
200,2021-07-16 08:04:00,phone,tlKEeKeQte,16,8,2021-07-16,4
201,2021-07-16 08:24:00,watch,LOvq0xwXXz,20,8,2021-07-16,4
202,2021-07-16 08:28:00,watch,LOvq0xwXXz,13,8,2021-07-16,4
203,2021-07-16 08:29:00,phone,tlKEeKeQte,39,8,2021-07-16,4
204,2021-07-16 08:29:00,watch,LOvq0xwXXz,75,8,2021-07-16,4
205,2021-07-16 08:30:00,watch,LOvq0xwXXz,19,8,2021-07-16,4
206,2021-07-16 08:31:00,phone,tlKEeKeQte,64,8,2021-07-16,4
207,2021-07-16 08:31:00,watch,LOvq0xwXXz,57,8,2021-07-16,4
208,2021-07-16 08:32:00,phone,tlKEeKeQte,53,8,2021-07-16,4
209,2021-07-16 08:32:00,watch,LOvq0xwXXz,55,8,2021-07-16,4
210,2021-07-16 08:33:00,phone,tlKEeKeQte,67,8,2021-07-16,4
211,2021-07-16 08:33:00,watch,LOvq0xwXXz,61,8,2021-07-16,4
212,2021-07-16 08:34:00,phone,tlKEeKeQte,91,8,2021-07-16,4
213,2021-07-16 08:34:00,watch,LOvq0xwXXz,103,8,2021-07-16,4
214,2021-07-16 08:35:00,phone,tlKEeKeQte,103,8,2021-07-16,4
215,2021-07-16 08:35:00,watch,LOvq0xwXXz,102,8,2021-07-16,4
216,2021-07-16 08:36:00,phone,tlKEeKeQte,80,8,2021-07-16,4
217,2021-07-16 08:36:00,watch,LOvq0xwXXz,95,8,2021-07-16,4
218,2021-07-16 08:37:00,phone,tlKEeKeQte,100,8,2021-07-16,4
219,2021-07-16 08:37:00,watch,LOvq0xwXXz,90,8,2021-07-16,4
220,2021-07-16 08:38:00,phone,tlKEeKeQte,108,8,2021-07-16,4
