,timestamp,step,device
219,2021-07-15 12:41:00,108.0,watch
220,2021-07-15 12:42:00,110.0,phone
221,2021-07-15 12:42:00,107.0,watch
222,2021-07-15 12:43:00,122.0,phone
223,2021-07-15 12:43:00,119.0,watch
224,2021-07-15 12:44:00,124.0,phone
225,2021-07-15 12:44:00,96.0,watch
226,2021-07-15 12:45:00,105.0,phone
227,2021-07-15 12:45:00,85.0,watch
228,2021-07-15 12:47:00,11.0,watch
229,2021-07-15 12:50:00,12.0,watch
230,2021-07-15 12:51:00,31.0,phone
231,2021-07-15 12:51:00,28.0,watch
232,2021-07-15 12:52:00,102.0,phone
233,2021-07-15 12:52:00,122.0,watch
234,2021-07-15 12:53:00,115.0,phone
235,2021-07-15 12:53:00,94.0,watch
236,2021-07-15 12:54:00,103.0,phone
237,2021-07-15 12:54:00,116.0,watch
238,2021-07-15 12:55:00,72.0,phone
239,2021-07-15 12:55:00,71.0,watch
240,2021-07-15 12:57:00,13.0,watch
241,2021-07-15 12:58:00,16.0,watch
242,2021-07-15 13:00:00,14.0,phone
243,2021-07-15 13:01:00,14.0,phone
244,2021-07-15 13:03:00,20.0,phone
245,2021-07-15 13:03:00,18.0,watch
246,2021-07-15 13:04:00,8.0,phone
247,2021-07-15 13:06:00,73.0,phone
248,2021-07-15 13:06:00,104.0,watch
249,2021-07-15 13:07:00,106.0,phone
250,2021-07-15 13:07:00,107.0,watch
251,2021-07-15 13:08:00,18.0,phone
252,2021-07-15 13:08:00,25.0,watch
253,2021-07-15 13:09:00,14.0,watch
254,2021-07-15 13:10:00,42.0,phone
255,2021-07-15 13:10:00,105.0,watch
256,2021-07-15 13:11:00,82.0,phone
257,2021-07-15 13:11:00,106.0,watch
258,2021-07-15 13:12:00,62.0,phone
259,2021-07-15 13:12:00,78.0,watch
260,2021-07-15 13:22:00,10.0,phone
261,2021-07-15 13:22:00,15.0,watch
262,2021-07-15 13:25:00,56.0,phone
263,2021-07-15 13:25:00,61.0,watch
264,2021-07-15 17:06:00,55.0,phone
265,2021-07-15 17:06:00,49.0,watch
266,2021-07-15 17:07:00,18.0,watch
267,2021-07-15 17:10:00,58.0,phone
268,2021-07-15 17:10:00,81.0,watch
269,2021-07-15 17:11:00,19.0,phone
270,2021-07-15 17:11:00,18.0,watch
271,2021-07-15 17:16:00,9.0,phone
272,2021-07-15 17:27:00,15.0,watch
273,2021-07-15 17:39:00,14.0,watch
274,2021-07-15 17:40:00,55.0,phone
275,2021-07-15 17:40:00,48.0,watch
276,2021-07-15 17:41:00,38.0,phone
277,2021-07-15 17:41:00,41.0,watch
278,2021-07-15 17:42:00,46.0,phone
279,2021-07-15 17:42:00,40.0,watch
280,2021-07-15 17:43:00,25.0,phone
281,2021-07-15 17:43:00,31.0,watch
282,2021-07-15 17:45:00,59.0,phone
283,2021-07-15 17:45:00,74.0,watch
284,2021-07-15 17:46:00,74.0,phone
285,2021-07-15 17:46:00,105.0,watch
286,2021-07-15 17:47:00,107.0,phone
287,2021-07-15 17:47:00,100.0,watch
288,2021-07-15 17:48:00,104.0,phone
289,2021-07-15 17:48:00,105.0,watch
290,2021-07-15 17:49:00,101.0,phone
291,2021-07-15 17:49:00,104.0,watch
292,2021-07-15 17:50:00,103.0,phone
293,2021-07-15 17:50:00,109.0,watch
294,2021-07-15 17:51:00,93.0,phone
295,2021-07-15 17:51:00,97.0,watch
296,2021-07-15 17:52:00,94.0,phone
297,2021-07-15 17:52:00,101.0,watch
298,2021-07-15 17:53:00,51.0,phone
299,2021-07-15 17:53:00,51.0,watch
300,2021-07-15 18:04:00,10.0,watch
301,2021-07-15 19:26:00,36.0,phone
302,2021-07-15 19:26:00,53.0,watch
303,2021-07-15 19:27:00,113.0,phone
304,2021-07-15 19:27:00,127.0,watch
305,2021-07-15 19:28:00,91.0,phone
306,2021-07-15 19:28:00,96.0,watch
307,2021-07-15 19:29:00,16.0,watch
308,2021-07-15 19:30:00,44.0,watch
309,2021-07-15 19:32:00,35.0,watch
310,2021-07-15 19:33:00,23.0,watch
311,2021-07-15 19:42:00,12.0,watch
312,2021-07-15 19:43:00,12.0,watch
313,2021-07-15 19:44:00,12.0,phone
314,2021-07-15 19:46:00,7.0,phone
315,2021-07-15 19:47:00,21.0,phone
316,2021-07-15 19:47:00,10.0,watch
317,2021-07-15 19:48:00,13.0,phone
318,2021-07-15 19:48:00,10.0,watch
319,2021-07-15 19:50:00,11.0,watch
320,2021-07-15 19:56:00,12.0,watch
321,2021-07-15 20:16:00,11.0,watch
322,2021-07-15 20:18:00,12.0,watch
323,2021-07-15 20:20:00,12.0,watch
