Phone Exercise Day difference: 0.059 users: 28, days:135
        uid       date  weekday  hour    pstep         SPM
1562    P02 2021-08-10        1    16  14508.0  114.236220
1587    P02 2021-08-11        2    17  11947.0  114.875000
1613    P02 2021-08-13        4    17  15278.0  117.523077
1672    P02 2021-08-16        0    17  12475.0  114.449541
20245   P14 2021-10-18        0     9   3797.0   77.489796
49813   P31 2021-11-14        6    17  12635.0  157.937500
49944   P31 2021-11-17        2     8   7571.0  148.450980
65164   P39 2021-08-04        2    19   3545.0   72.843750
65165   P39 2021-08-04        2    20   4247.0   75.839286
65558   P39 2021-08-12        3    22   3930.0   85.434783
65560   P39 2021-08-12        3    23   1605.0  100.312500
68798   P42 2021-11-11        3     8   5562.0   80.608696
68879   P42 2021-11-15        0     9   3691.0   99.756757
68949   P42 2021-11-16        1     9   4393.0   89.653061
69001   P42 2021-11-17        2     9   5153.0   81.793651
69044   P42 2021-11-18        3     9   3862.0   94.195122
69103   P42 2021-11-19        4    20   2798.0  103.629630
69203   P42 2021-11-22        0     9   4038.0  103.538462
69248   P42 2021-11-23        1     9   4614.0   98.170213
69324   P42 2021-11-25        3     9   5359.0   85.063492
69361   P42 2021-11-26        4     9   5186.0   79.784615
69627   P42 2021-12-02        3     9   4286.0   89.291667
69672   P42 2021-12-02        3    20   3385.0   91.486486
69689   P42 2021-12-03        4     8   5390.0   92.931034
69725   P42 2021-12-03        4    20   5375.0   92.672414
69793   P42 2021-12-06        0     9   5285.0  101.634615
69859   P42 2021-12-07        1     9   4368.0   75.310345
69888   P42 2021-12-07        1    20   4743.0   94.860000
69895   P42 2021-12-08        2     9   3855.0   74.134615
69923   P42 2021-12-08        2    19   5191.0   96.129630
69933   P42 2021-12-09        3     9   5138.0   98.807692
69977   P42 2021-12-10        4     9   5998.0   99.966667
70021   P42 2021-12-10        4    20   4632.0   90.823529
72433   P45 2021-07-24        5    21   4881.0  143.558824
73274   P45 2021-08-15        6     7   4978.0  134.540541
78501   P49 2021-11-06        5    14   5530.0   82.537313
78644   P49 2021-11-10        2     9   1146.0  104.181818
78709   P49 2021-11-11        3     9   1180.0  107.272727
78777   P49 2021-11-12        4     9   1245.0  103.750000
78842   P49 2021-11-13        5    14   1610.0  115.000000
78875   P49 2021-11-14        6    15   1208.0  109.818182
78889   P49 2021-11-15        0     8   1208.0  100.666667
78938   P49 2021-11-16        1     9   1029.0  102.900000
79084   P49 2021-11-19        4     9   1170.0  106.363636
79157   P49 2021-11-21        6    20   1192.0  108.363636
79161   P49 2021-11-22        0     9   1262.0  114.727273
79243   P49 2021-11-23        1    18   2759.0  106.115385
79262   P49 2021-11-24        2     9   1102.0  100.181818
79408   P49 2021-11-27        5    15   1003.0  100.300000
98022   P62 2021-07-17        5    19   5050.0  112.222222
98023   P62 2021-07-17        5    20   4016.0  105.684211
98728   P62 2021-07-31        5    19   9446.0  103.802198
99425   P62 2021-08-14        5    21   5579.0  107.288462
103875  P66 2021-10-27        2    22   4864.0  124.717949
116875  P75 2021-08-01        6     5   1302.0  108.500000
129347  P84 2021-07-29        3    23   4388.0   89.551020
129368  P84 2021-07-30        4    20   4221.0   95.931818
129369  P84 2021-07-30        4    21   3030.0   89.117647
130013  P84 2021-08-16        0    21   3568.0   82.976744
135361  P87 2021-08-14        5     9   3154.0   60.653846
