loading...
Topic # 1
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 16.5), Topic Prob: 0.901
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 12.0), Topic Prob: 0.889
Doc: ('P04', Timestamp('2021-08-02 00:00:00'), 15.0), Topic Prob: 0.867
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 18.0), Topic Prob: 0.866
Doc: ('P05', Timestamp('2021-10-27 00:00:00'), 15.5), Topic Prob: 0.865
Doc: ('P03', Timestamp('2021-12-04 00:00:00'), 20.5), Topic Prob: 0.859
Doc: ('P03', Timestamp('2021-12-08 00:00:00'), 11.5), Topic Prob: 0.854
Doc: ('P05', Timestamp('2021-10-28 00:00:00'), 10.5), Topic Prob: 0.853
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 15.0), Topic Prob: 0.839
Doc: ('P04', Timestamp('2021-07-27 00:00:00'), 10.5), Topic Prob: 0.837
Doc: ('P05', Timestamp('2021-10-28 00:00:00'), 16.5), Topic Prob: 0.836
Doc: ('P03', Timestamp('2021-12-06 00:00:00'), 14.0), Topic Prob: 0.826
Doc: ('P04', Timestamp('2021-07-21 00:00:00'), 7.0), Topic Prob: 0.819
Doc: ('P05', Timestamp('2021-10-27 00:00:00'), 10.0), Topic Prob: 0.807
Doc: ('P03', Timestamp('2021-12-06 00:00:00'), 23.0), Topic Prob: 0.802
Doc: ('P03', Timestamp('2021-12-09 00:00:00'), 11.5), Topic Prob: 0.799
Doc: ('P04', Timestamp('2021-07-22 00:00:00'), 2.5), Topic Prob: 0.794
Doc: ('P02', Timestamp('2021-07-25 00:00:00'), 13.5), Topic Prob: 0.792
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 8.0), Topic Prob: 0.788
Doc: ('P04', Timestamp('2021-07-21 00:00:00'), 13.0), Topic Prob: 0.787
Doc: ('P05', Timestamp('2021-10-27 00:00:00'), 11.5), Topic Prob: 0.783
Doc: ('P05', Timestamp('2021-10-28 00:00:00'), 8.5), Topic Prob: 0.775
Doc: ('P03', Timestamp('2021-12-06 00:00:00'), 12.0), Topic Prob: 0.774
Doc: ('P05', Timestamp('2021-10-28 00:00:00'), 5.0), Topic Prob: 0.774
Doc: ('P05', Timestamp('2021-10-27 00:00:00'), 8.0), Topic Prob: 0.767
Doc: ('P03', Timestamp('2021-12-05 00:00:00'), 17.0), Topic Prob: 0.764
Doc: ('P03', Timestamp('2021-12-08 00:00:00'), 16.5), Topic Prob: 0.764
Doc: ('P04', Timestamp('2021-07-28 00:00:00'), 15.5), Topic Prob: 0.763
Doc: ('P03', Timestamp('2021-12-06 00:00:00'), 11.0), Topic Prob: 0.762
Doc: ('P05', Timestamp('2021-10-27 00:00:00'), 22.5), Topic Prob: 0.762
Doc: ('P03', Timestamp('2021-12-08 00:00:00'), 8.5), Topic Prob: 0.755
Doc: ('P05', Timestamp('2021-10-27 00:00:00'), 7.0), Topic Prob: 0.754
Doc: ('P05', Timestamp('2021-10-27 00:00:00'), 14.0), Topic Prob: 0.753
Doc: ('P01', Timestamp('2021-08-06 00:00:00'), 19.5), Topic Prob: 0.75
Doc: ('P04', Timestamp('2021-07-28 00:00:00'), 11.0), Topic Prob: 0.746
------------------------------
Topic # 6
Doc: ('P02', Timestamp('2021-08-14 00:00:00'), 9.5), Topic Prob: 0.98
Doc: ('P03', Timestamp('2021-11-29 00:00:00'), 18.5), Topic Prob: 0.932
Doc: ('P04', Timestamp('2021-08-09 00:00:00'), 5.0), Topic Prob: 0.886
Doc: ('P04', Timestamp('2021-08-15 00:00:00'), 4.0), Topic Prob: 0.884
Doc: ('P03', Timestamp('2021-11-20 00:00:00'), 13.5), Topic Prob: 0.875
Doc: ('P02', Timestamp('2021-07-30 00:00:00'), 18.0), Topic Prob: 0.861
Doc: ('P04', Timestamp('2021-08-09 00:00:00'), 12.0), Topic Prob: 0.858
Doc: ('P05', Timestamp('2021-10-29 00:00:00'), 20.5), Topic Prob: 0.854
Doc: ('P01', Timestamp('2021-07-25 00:00:00'), 22.5), Topic Prob: 0.853
Doc: ('P01', Timestamp('2021-07-25 00:00:00'), 21.0), Topic Prob: 0.847
Doc: ('P03', Timestamp('2021-11-29 00:00:00'), 13.0), Topic Prob: 0.839
Doc: ('P03', Timestamp('2021-12-12 00:00:00'), 8.0), Topic Prob: 0.835
Doc: ('P04', Timestamp('2021-08-09 00:00:00'), 8.5), Topic Prob: 0.827
Doc: ('P03', Timestamp('2021-11-20 00:00:00'), 21.0), Topic Prob: 0.824
Doc: ('P03', Timestamp('2021-11-20 00:00:00'), 14.0), Topic Prob: 0.824
Doc: ('P03', Timestamp('2021-12-11 00:00:00'), 15.5), Topic Prob: 0.823
Doc: ('P03', Timestamp('2021-11-20 00:00:00'), 19.5), Topic Prob: 0.812
Doc: ('P01', Timestamp('2021-07-30 00:00:00'), 2.0), Topic Prob: 0.811
Doc: ('P03', Timestamp('2021-11-30 00:00:00'), 6.5), Topic Prob: 0.808
Doc: ('P05', Timestamp('2021-10-29 00:00:00'), 20.0), Topic Prob: 0.805
Doc: ('P03', Timestamp('2021-11-20 00:00:00'), 8.5), Topic Prob: 0.802
Doc: ('P01', Timestamp('2021-07-25 00:00:00'), 7.5), Topic Prob: 0.796
Doc: ('P03', Timestamp('2021-11-28 00:00:00'), 21.0), Topic Prob: 0.792
Doc: ('P04', Timestamp('2021-08-09 00:00:00'), 8.0), Topic Prob: 0.792
Doc: ('P04', Timestamp('2021-08-14 00:00:00'), 20.0), Topic Prob: 0.786
Doc: ('P02', Timestamp('2021-07-31 00:00:00'), 0.0), Topic Prob: 0.777
Doc: ('P03', Timestamp('2021-12-11 00:00:00'), 19.5), Topic Prob: 0.776
Doc: ('P05', Timestamp('2021-10-30 00:00:00'), 10.5), Topic Prob: 0.772
Doc: ('P01', Timestamp('2021-08-02 00:00:00'), 8.0), Topic Prob: 0.765
Doc: ('P03', Timestamp('2021-12-12 00:00:00'), 11.5), Topic Prob: 0.761
Doc: ('P04', Timestamp('2021-07-30 00:00:00'), 13.5), Topic Prob: 0.76
Doc: ('P03', Timestamp('2021-11-29 00:00:00'), 8.5), Topic Prob: 0.756
Doc: ('P04', Timestamp('2021-08-07 00:00:00'), 14.0), Topic Prob: 0.752
Doc: ('P03', Timestamp('2021-12-12 00:00:00'), 8.5), Topic Prob: 0.747
Doc: ('P05', Timestamp('2021-10-29 00:00:00'), 15.0), Topic Prob: 0.746
Doc: ('P02', Timestamp('2021-08-12 00:00:00'), 15.5), Topic Prob: 0.745
Doc: ('P01', Timestamp('2021-07-25 00:00:00'), 23.5), Topic Prob: 0.744
Doc: ('P04', Timestamp('2021-07-16 00:00:00'), 20.5), Topic Prob: 0.744
Doc: ('P05', Timestamp('2021-10-29 00:00:00'), 11.0), Topic Prob: 0.737
Doc: ('P02', Timestamp('2021-07-30 00:00:00'), 21.0), Topic Prob: 0.735
Doc: ('P04', Timestamp('2021-08-10 00:00:00'), 8.5), Topic Prob: 0.734
Doc: ('P03', Timestamp('2021-12-11 00:00:00'), 10.5), Topic Prob: 0.732
Doc: ('P05', Timestamp('2021-10-29 00:00:00'), 11.5), Topic Prob: 0.732
Doc: ('P01', Timestamp('2021-07-25 00:00:00'), 14.5), Topic Prob: 0.73
Doc: ('P03', Timestamp('2021-11-20 00:00:00'), 9.0), Topic Prob: 0.73
Doc: ('P03', Timestamp('2021-12-11 00:00:00'), 11.5), Topic Prob: 0.73
Doc: ('P01', Timestamp('2021-07-24 00:00:00'), 20.0), Topic Prob: 0.723
Doc: ('P04', Timestamp('2021-07-23 00:00:00'), 18.5), Topic Prob: 0.723
Doc: ('P05', Timestamp('2021-10-30 00:00:00'), 0.0), Topic Prob: 0.721
------------------------------
Topic # 0
Doc: ('P03', Timestamp('2021-12-09 00:00:00'), 15.0), Topic Prob: 0.76
Doc: ('P04', Timestamp('2021-08-02 00:00:00'), 0.5), Topic Prob: 0.686
Doc: ('P03', Timestamp('2021-12-02 00:00:00'), 7.5), Topic Prob: 0.669
Doc: ('P01', Timestamp('2021-08-11 00:00:00'), 16.0), Topic Prob: 0.657
Doc: ('P04', Timestamp('2021-08-02 00:00:00'), 9.0), Topic Prob: 0.617
Doc: ('P03', Timestamp('2021-12-02 00:00:00'), 9.5), Topic Prob: 0.606
Doc: ('P01', Timestamp('2021-07-26 00:00:00'), 8.0), Topic Prob: 0.594
